"","group","GW","GL","NGW","NGL","cluster_GW_lastbin"
"1",1,NA,NA,NA,NA,NA
"2",1,NA,NA,NA,NA,NA
"3",2,NA,NA,NA,NA,NA
"4",2,NA,NA,NA,NA,NA
"5",1,0.866666667,0.644444444,0.733333333,0.288888889,1
"6",1,0.622222222,0.555555556,0.422222222,0.4,1
"7",1,0.888888889,0.711111111,0.933333333,0.8,1
"8",1,0.466666667,0.622222222,0.866666667,0.733333333,1
"9",1,0.866666667,0.888888889,0.222222222,0.533333333,1
"10",1,0.866666667,0.8,0.488888889,0.688888889,1
"11",1,0.8,0.755555556,0.355555556,0.4,1
"12",1,0.844444444,0.733333333,0.6,0.577777778,1
"13",1,0.977777778,0.666666667,0.866666667,0.644444444,1
"14",1,0.822222222,0.777777778,0.333333333,0.311111111,1
"15",1,0.777777778,0.466666667,0.2,0.444444444,1
"16",1,0.755555556,0.555555556,0.244444444,0.4,1
"17",1,0.555555556,0.822222222,0.288888889,0.422222222,1
"18",1,0.911111111,0.8,0.066666667,0.488888889,1
"19",1,0.733333333,0.622222222,0.888888889,0.422222222,1
"20",1,0.977777778,0.533333333,0.911111111,0.466666667,1
"21",1,0.933333333,0.955555556,0,0.044444444,1
"22",2,1,0.888888889,0.933333333,0.755555556,1
"23",2,0.888888889,0.822222222,0.355555556,0.777777778,1
"24",2,1,0.8,0.822222222,0.711111111,1
"25",2,1,0.866666667,0.733333333,0.866666667,1
"26",2,0.955555556,0.911111111,0.755555556,0.844444444,1
"27",2,0.888888889,0.666666667,0.822222222,0.511111111,1
"28",2,0.733333333,0.755555556,0.377777778,0.844444444,1
"29",2,1,0.911111111,0.711111111,0.822222222,1
"30",2,1,0.733333333,0.933333333,0.822222222,1
"31",2,0.977777778,0.755555556,0.2,0.466666667,1
"32",2,0.822222222,0.644444444,0.644444444,0.844444444,1
"33",2,0.866666667,0.777777778,0.222222222,0.777777778,1
"34",2,0.8,0.733333333,1,0.666666667,1
"35",2,0.888888889,0.888888889,0.911111111,0.888888889,1
"36",2,1,0.822222222,0.4,0.533333333,1
"37",2,0.8,0.6,0.133333333,0.711111111,1
"38",2,1,0.911111111,0,0.866666667,1
"39",2,0.933333333,0.777777778,0.755555556,0.822222222,1
"40",2,1,0.933333333,0.622222222,0.933333333,1
"41",2,0.822222222,0.8,0.666666667,0.711111111,1
"42",2,0.911111111,0.8,0.155555556,0.666666667,1
"43",2,0.888888889,0.888888889,0.8,0.955555556,1
"44",2,0.911111111,0.733333333,0.044444444,0.688888889,1
"45",2,0.822222222,0.622222222,0.288888889,0.533333333,1
"46",1,0.444444444,0.511111111,0.733333333,0.733333333,2
"47",1,0.622222222,0.622222222,0.488888889,0.466666667,2
"48",1,0.466666667,0.533333333,0.422222222,0.4,2
"49",1,0.444444444,0.666666667,0.133333333,0.533333333,2
"50",1,0.622222222,0.688888889,0.222222222,0.266666667,2
"51",1,0.444444444,0.688888889,0.422222222,0.688888889,2
"52",1,0.511111111,0.644444444,0.311111111,0.355555556,2
"53",1,0.466666667,0.488888889,0.266666667,0.711111111,2
"54",1,0.355555556,0.933333333,0.822222222,0.666666667,2
"55",1,0.511111111,0.666666667,0.4,0.511111111,2
"56",1,0.6,0.666666667,0.266666667,0.288888889,2
"57",2,0.733333333,0.511111111,0.777777778,0.533333333,2
"58",2,0.6,0.688888889,0.244444444,0.244444444,2
"59",2,0.666666667,0.488888889,0.488888889,0.377777778,2
"60",2,0.622222222,0.711111111,0.977777778,0.555555556,2
